study_name	number	val_bpb	datetime_start	datetime_complete
hyperopt_random	0	0.4878600807523294	2026-03-23 19:01:34.261457	2026-03-23 19:17:04.921851
hyperopt_gp	0	0.4869349538116089	2026-03-24 11:01:14.924271	2026-03-24 11:08:38.881651
hyperopt_cmaes	0	0.4878503367231329	2026-03-24 19:03:51.894693	2026-03-24 19:11:13.828871
hyperopt_random	1	0.485369753063366	2026-03-23 19:17:05.154247	2026-03-23 19:26:40.254847
hyperopt_gp	1	0.4864648231241968	2026-03-24 11:08:39.106804	2026-03-24 11:15:31.318155
hyperopt_cmaes	1	0.4838931576130413	2026-03-24 19:11:14.060660	2026-03-24 19:17:14.140216
hyperopt_random	2	0.4861795905867049	2026-03-23 19:26:40.397080	2026-03-23 19:33:21.008478
hyperopt_gp	2	0.4643524945172639	2026-03-24 11:15:31.501323	2026-03-24 11:22:08.080424
hyperopt_cmaes	2	0.4823841902330136	2026-03-24 19:17:14.199981	2026-03-24 19:24:33.073051
hyperopt_random	3	0.5703871789475476	2026-03-23 19:33:21.056432	2026-03-23 19:51:16.938611
hyperopt_gp	3	0.4691521372364804	2026-03-24 11:22:08.228625	2026-03-24 11:28:24.721297
hyperopt_cmaes	3	0.4787678552539262	2026-03-24 19:24:33.301979	2026-03-24 19:30:45.469682
hyperopt_random	4	0.4921580951833927	2026-03-23 19:51:17.096407	2026-03-23 19:59:07.597733
hyperopt_gp	4	0.5242474029216336	2026-03-24 11:28:24.792079	2026-03-24 11:36:05.374867
hyperopt_cmaes	4	0.4726083542837393	2026-03-24 19:30:45.579910	2026-03-24 19:36:49.774867
hyperopt_random	5	0.5101466874157147	2026-03-23 19:59:07.671508	2026-03-23 20:05:26.333805
hyperopt_gp	5	0.5394891425511978	2026-03-24 11:36:05.533979	2026-03-24 11:42:21.707928
hyperopt_cmaes	5	0.4749384553838092	2026-03-24 19:36:49.861743	2026-03-24 19:42:53.192035
hyperopt_random	6	8.318319320678711	2026-03-23 20:05:26.368286	2026-03-23 20:05:31.124878
hyperopt_gp	6	0.4614819586721191	2026-03-24 11:42:21.738894	2026-03-24 11:48:57.159434
hyperopt_cmaes	6	0.5249675244155593	2026-03-24 19:42:53.250551	2026-03-24 19:50:32.383621
hyperopt_random	7	8.318632125854492	2026-03-23 20:05:31.140892	2026-03-23 20:05:38.578970
hyperopt_gp	7	0.6068736756503242	2026-03-24 11:48:57.285749	2026-03-24 11:56:43.465239
hyperopt_cmaes	7	0.4741028642672961	2026-03-24 19:50:32.540898	2026-03-24 19:56:35.804988
hyperopt_random	8	8.318319320678711	2026-03-23 20:05:38.594898	2026-03-23 20:05:45.646392
hyperopt_gp	8	0.5643807126432293	2026-03-24 11:56:43.628254	2026-03-24 12:04:12.963409
hyperopt_cmaes	8	0.4842034250586493	2026-03-24 19:56:35.862928	2026-03-24 20:02:34.447392
hyperopt_random	9	7.888823937938198	2026-03-23 20:05:45.662893	2026-03-23 20:05:52.998672
hyperopt_gp	9	0.5311616054299054	2026-03-24 12:04:13.114103	2026-03-24 12:10:34.590649
hyperopt_cmaes	9	0.4913717704348639	2026-03-24 20:02:34.493530	2026-03-24 20:08:33.710384
hyperopt_random	10	8.318632125854492	2026-03-23 20:05:53.014372	2026-03-23 20:05:57.607669
hyperopt_gp	10	0.4855766900429974	2026-03-24 12:10:34.624347	2026-03-24 12:16:44.286403
hyperopt_cmaes	10	0.4923242374419972	2026-03-24 20:08:33.752734	2026-03-24 20:14:32.959080
hyperopt_random	11	0.5295952986221543	2026-03-23 20:05:57.624494	2026-03-23 20:12:17.493177
hyperopt_gp	11	0.4622066665887631	2026-03-24 12:16:44.328368	2026-03-24 12:23:07.719715
hyperopt_cmaes	11	0.4879422009320858	2026-03-24 20:14:33.001906	2026-03-24 20:20:36.388143
hyperopt_random	12	8.318629264831543	2026-03-23 20:12:17.525828	2026-03-23 20:12:21.793021
hyperopt_gp	12	0.4691021942313192	2026-03-24 12:23:07.797666	2026-03-24 12:29:23.460217
hyperopt_cmaes	12	0.50315670234455	2026-03-24 20:20:36.442181	2026-03-24 20:26:37.641520
hyperopt_random	13	8.318316459655762	2026-03-23 20:12:21.808982	2026-03-23 20:12:29.691780
hyperopt_gp	13	0.4713509437602072	2026-03-24 12:29:23.533729	2026-03-24 12:36:13.123649
hyperopt_cmaes	13	0.4705770743950544	2026-03-24 20:26:37.678291	2026-03-24 20:33:09.353172
hyperopt_random	14	8.318319320678711	2026-03-23 20:12:29.708155	2026-03-23 20:12:35.373870
hyperopt_gp	14	0.474813628172078	2026-03-24 12:36:13.235678	2026-03-24 12:42:59.547333
hyperopt_cmaes	14	0.463715357387171	2026-03-24 20:33:09.506243	2026-03-24 20:39:28.221742
hyperopt_random	15	8.318319320678711	2026-03-23 20:12:35.390132	2026-03-23 20:12:40.912157
hyperopt_gp	15		2026-03-24 12:42:59.657326	2026-03-24 12:47:04.377501
hyperopt_cmaes	15	0.4726954776274383	2026-03-24 20:39:28.347385	2026-03-24 20:45:59.909071
hyperopt_random	16	7.898574758574904	2026-03-23 20:12:40.928052	2026-03-23 20:12:47.206820
hyperopt_gp	16	0.475787061053778	2026-03-24 12:47:06.040405	2026-03-24 12:53:15.832344
hyperopt_cmaes	16	0.4907140960516237	2026-03-24 20:46:00.004753	2026-03-24 20:51:59.224583
hyperopt_random	17	0.4631065749455428	2026-03-23 20:12:47.222429	2026-03-23 20:20:40.957669
hyperopt_gp	17	0.4630977587729287	2026-03-24 12:53:15.891227	2026-03-24 12:59:51.822470
hyperopt_cmaes	17	0.4869063822094704	2026-03-24 20:51:59.267919	2026-03-24 20:57:58.372188
hyperopt_random	18	0.5366182705899728	2026-03-23 20:20:41.073425	2026-03-23 20:27:06.669620
hyperopt_gp	18	0.4700455937129475	2026-03-24 12:59:51.914975	2026-03-24 13:06:13.313809
hyperopt_cmaes	18	0.4665722400850046	2026-03-24 20:57:58.415214	2026-03-24 21:04:30.679552
hyperopt_random	19	8.142780999826156	2026-03-23 20:27:06.702356	2026-03-23 20:27:12.894976
hyperopt_gp	19	0.4622478441457385	2026-03-24 13:06:13.396781	2026-03-24 13:12:36.822762
hyperopt_cmaes	19	0.5007835133788368	2026-03-24 21:04:30.775447	2026-03-24 21:10:29.441788
hyperopt_random	20	8.318632125854492	2026-03-23 20:27:12.910496	2026-03-23 20:27:17.463470
hyperopt_gp	20	0.4744213179682095	2026-03-24 13:12:36.905900	2026-03-24 13:19:19.883522
hyperopt_cmaes	20	0.4854566372013398	2026-03-24 21:10:29.489951	2026-03-24 21:16:28.213513
hyperopt_random	21	7.897691888239564	2026-03-23 20:27:17.480153	2026-03-23 20:27:22.916301
hyperopt_gp	21	0.4653857654052385	2026-03-24 13:19:19.975575	2026-03-24 13:25:54.904180
hyperopt_cmaes	21	0.4642709371116912	2026-03-24 21:16:28.260105	2026-03-24 21:22:47.838088
hyperopt_random	22	8.138064281873861	2026-03-23 20:27:22.931305	2026-03-23 20:27:28.177040
hyperopt_gp	22	0.4876987383594981	2026-03-24 13:25:54.996411	2026-03-24 13:31:59.496351
hyperopt_cmaes	22	0.4809148995008242	2026-03-24 21:22:47.916001	2026-03-24 21:28:51.280451
hyperopt_random	23	8.239491596227632	2026-03-23 20:27:28.192738	2026-03-23 20:27:33.428206
hyperopt_gp	23	0.4638126153381646	2026-03-24 13:31:59.554032	2026-03-24 13:38:31.281691
hyperopt_cmaes	23	0.4627584075419416	2026-03-24 21:28:51.333153	2026-03-24 21:35:10.308822
hyperopt_random	24	7.898841346606357	2026-03-23 20:27:33.443671	2026-03-23 20:27:38.654846
hyperopt_gp	24	0.485039942563406	2026-03-24 13:38:31.364303	2026-03-24 13:44:51.438930
hyperopt_cmaes	24	0.4658915214604895	2026-03-24 21:35:10.442150	2026-03-24 21:41:41.836744
hyperopt_random	25	8.109296802363948	2026-03-23 20:27:38.669803	2026-03-23 20:27:45.707916
hyperopt_gp	25	0.4747615455304387	2026-03-24 13:44:51.506289	2026-03-24 13:51:39.986852
hyperopt_cmaes	25	0.4691192391075762	2026-03-24 21:41:41.932242	2026-03-24 21:47:45.461443
hyperopt_random	26	8.124834608614217	2026-03-23 20:27:45.723324	2026-03-23 20:27:51.879959
hyperopt_gp	26	0.4755118495275583	2026-03-24 13:51:40.100013	2026-03-24 13:58:29.807142
hyperopt_cmaes	26	0.4736367832580593	2026-03-24 21:47:45.519315	2026-03-24 21:53:48.872550
hyperopt_random	27	8.104432943115654	2026-03-23 20:27:51.895725	2026-03-23 20:27:57.137091
hyperopt_gp	27	0.4703872314142842	2026-03-24 13:58:29.917553	2026-03-24 14:04:53.967780
hyperopt_cmaes	27	0.4651682772105736	2026-03-24 21:53:48.925695	2026-03-24 22:00:08.585037
hyperopt_random	28	8.318632125854492	2026-03-23 20:27:57.152665	2026-03-23 20:28:03.503726
hyperopt_gp	28	0.4665353698329063	2026-03-24 14:04:54.048763	2026-03-24 14:11:17.558331
hyperopt_cmaes	28	0.4786047368386767	2026-03-24 22:00:08.666864	2026-03-24 22:06:15.893840
hyperopt_random	29	5.47545426939675	2026-03-23 20:28:03.520065	2026-03-23 20:28:10.440316
hyperopt_gp	29	0.4698480299402445	2026-03-24 14:11:17.637397	2026-03-24 14:17:49.990967
hyperopt_cmaes	29	0.4755131548806757	2026-03-24 22:06:15.941227	2026-03-24 22:13:33.650577
hyperopt_random	30	8.31806468963623	2026-03-23 20:28:10.455715	2026-03-23 20:28:16.007115
hyperopt_gp	30	0.4620470384146385	2026-03-24 14:17:50.087108	2026-03-24 14:24:10.592881
hyperopt_cmaes	30	0.4898159478325069	2026-03-24 22:13:33.793305	2026-03-24 22:19:33.226915
hyperopt_random	31	8.318319320678711	2026-03-23 20:28:16.022325	2026-03-23 20:28:20.580198
hyperopt_gp	31	0.4744394942661888	2026-03-24 14:24:10.672477	2026-03-24 14:30:24.755022
hyperopt_cmaes	31	0.4861901506117708	2026-03-24 22:19:33.270078	2026-03-24 22:25:32.650919
hyperopt_random	32	8.318629264831543	2026-03-23 20:28:20.596137	2026-03-23 20:28:24.734859
hyperopt_gp	32	0.4653246108330782	2026-03-24 14:30:24.828327	2026-03-24 14:36:45.585934
hyperopt_cmaes	32	0.4603372350023393	2026-03-24 22:25:32.694204	2026-03-24 22:31:51.768193
hyperopt_random	33	8.318316459655762	2026-03-23 20:28:24.752153	2026-03-23 20:28:32.542004
